Company,Project Name,Sales Stage,Complete Date,Volume [kg],Chance of Success (%),Notes,ASI CONTACT NATURE ROLE AS,ASI CONTACT RELATIONSHIP,ASI Customer Group,ASI FUNCTIONALITY,ASI OPPORTUNITY STATUS,ASI OPPORTUNITY TYPE,ASI PAC Desc,ASI RESULT REASON,ASI SBU,ASI STAGE QUALIFICATION,ASI UOM
Resene Paints New Zealand,Performax - Resene,First Order,31/07/2016,10000,90,"Very interested and advised has lots of potential for their plant.
Supplied samples of Natrasol Performax 1325 (250 HBR type) & 2125 (AQU D-5032, Plus 330 type) on 13.05.13.
Would like to go with one grade if possible.
Interested to look at Performax variants of the higher efficiency HE 3 KB & HE 10 K.
Ordered 1 pallet for delivery Dec 15.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
New Zealand Steel Limited,SunCare,Sampled,31/07/2015,400,10,Requested samples of SunCare Topcoat and SunCare UV concentrate,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Apco Fiji,Natrosol 250 HR & Plus 330 Consolidated Supply,Evaluated and Approved,30/06/2015,6000,30,"Currently buy Nat Plus 330 from Alchemy, but Nat 250 HR offset from Tylose ex Middle East. Quoted for supply of both grades as a combined supply arrangement with reduced pricing on both.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Specialized Construction Products Ltd,Redispersible Polymer Powder,Closed Lost,30/11/2015,25000,0,"Recommend Aquapas HS 2098 - the strength performance should be equal to or superior to the Vinnapas 5044 standard.
Have just signed a 12 month supply agreement with Wacker (until Oct 2015). Volume has increased to 40-50MT pa. Shifted main volume to 5010N. Some 5044 for water-proofing & 5011 for self levelling. Wacker have provided a lot of technical assistance.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Whitehall Technical Services Ltd,Exterior Timber Coatings,Deferred,31/12/2011,500,5,"Requested samples of WetCare, SunCare 800, SunCare Top Coat, SunCare Concentrate, SunCare UV Concentrate",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Winstone Wallboards Ltd,Shrinkage reduction in air dry,Sampled,19/02/2015,2000,20,"July 2015 - Robert rang requesting sample of Combizell HK25MR. Beleives shrinkage issue mainly being caused by fines in CaCO3 supply but also that the tested the HK40MR at bottom end of spec and now supply is at the top end of the spec. Issues are now unacceptable so wants to look at the 25MR. Will still use the 40MR in other product lines. I also suggested they talk to AHI (also Fletcher Group) as they were importing a more consistant grade of CaCO3 a few years ago.

From May 2014 Using combination of J20R and HK40MR in 3 air dry compounds providing very good long term stability. In 3 other compound using MHPC much less shrinkage. What can they do to reduce the shrinkage but maintain the positive stability.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Zelam Limited,Dispersant,Sampled,30/11/2016,1000,10,Requested an alternative to SOKALAN PA 30 CL. ASI recommended Jaypol S44.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,SunCare & WetCare,Closed Lost,30/06/2013,500,10,"Interested particularly in the Suncare for UV protection of wood, rather than incorporation in exterior stains. 
Sampled of Suncare 800, UV, UV Concentrate, TopCoat & WetCare on 24th Jan 2011. Exposure results not good - will share. (Yvonne)",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Specialized Construction Products Ltd,MC Replacement,Initiated,31/05/2016,5500,5,Use MH6002 P4 type from Dow (Walocel) for renders & skim coats. Will need to match. Suggested we obtain formulated sample less  MC for Tech Service Report.,COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Mirotone (NZ) Ltd,Mirotone - Aquaflow,Deferred,31/12/2015,200,0,"w/b 30% resin solids pure acylic self x-linking (small particle size) clear & pigmented.
NB supplied presentation.  Progressing - looking at new tech resins. Won't be large and a wee way away.",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Agpro NZ Limited,SC Dispersant,Deferred,31/12/2012,2000,10,"Currently use Dispex N40 type sodium polyacrylate. Sample Jaypol S40. Requested price - 02.05.12
Sampled Easysperse P20 on 22.07.11",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
Resene Paints New Zealand,Aquaflow NSAT's,Sampled,31/12/2016,20000,10,"Supplied presentation on 30.09.13.
Evaluated XLS grades in a few formulations and advised that performance is inferior to new products from Elementis. Resene operate at very high volume solids ~42% and they saw significant viscosity drop on tinter addition with the Aquaflow products.
They commented that the big opportunity is to develop a synthetic alternative to Attapulgite clay. Current rheology companies are only offering pseudoplasticity and Resene need thixotropy. Attapulgite gives them the required true thixotropy, but imparts yellowing and has a high binder demand, so a synthetic alternative would be fantastic.
Introduced Aquaflow NLS-220 and interested - sent copy of presentation & sample. Awaiting feedback - July 15
Commented that new Rheology Modifiers from Elementis are getting new business - Oct 15",COACH / CHAMPION,TRUSTWORTHY,AGCHEM,ADHESION,OPEN / IN-PROGRESS,NEW BUSINESS,AGCHEM,CLINICAL TRIAL,ACRYLATES,STAGE-1 (@ 25%),KILOGRAM
